Anio,Trimestre,Empresa,NombreCorto,NombreLargo,SIC, NAICS , Activos , Inventarios , PasivoCirc , PasivoLP , PPE , CPP , Efectivo , GC , CBV , UOAD , Ventas , IGR , Deuda , CPC , GO , GVGA , Precio_Accion , mkt_capital , No_Acciones , growth_Activos , q_1 , q_2 , q_3 , q_4 , q_5 
2011,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,323.24 ", 272.27 , 635.57 , 130.39 ," 1,475.99 ", 190.36 , 64.15 , 13.54 , 523.14 , 8.33 , 719.35 , 6.05 , 130.39 , 403.53 , 711.01 , 187.88 ," 1,927.83 "," 1,474.35 ", 0.76477 , -   , 0.58 , 0.30 , 0.91 , 0.48 , 0.57 
2011,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,290.88 ", 278.13 , 624.73 , 124.68 ," 1,456.83 ", 185.56 , 52.48 , 14.82 , 523.82 , 5.17 , 711.09 , 5.61 , 124.68 , 389.85 , 705.92 , 182.10 ," 1,455.44 "," 1,512.15 ", 1.03896 ,-0.01 , 0.61 , 0.33 , 0.95 , 0.52 , 0.60 
2011,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,491.75 ", 321.64 , 751.64 , 126.91 ," 1,498.61 ", 230.88 , 80.95 , 14.25 , 619.92 , 32.06 , 853.39 , 6.27 , 126.91 , 472.23 , 821.33 , 201.41 , 918.89 ," 1,474.35 ", 1.60448 , 0.09 , 0.54 , 0.24 , 0.90 , 0.40 , 0.52 
2012,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,718.73 ", 417.21 , 794.40 , 236.82 ," 1,534.35 ", 221.58 , 17.54 , 14.17 ,-191.53 , 75.29 ,-312.39 ,-3.90 , 99.86 , 525.31 ,-387.68 ,-196.15 ," 1,937.28 "," 1,455.44 ", 0.75128 , 0.09 , 0.50 , 0.16 , 0.88 , 0.28 , 0.45 
2012,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,773.19 ", 398.26 , 799.82 , 225.04 ," 1,481.10 ", 201.95 , 31.15 , 12.70 , 816.88 , 117.60 ," 1,069.01 ", 5.28 , 89.81 , 557.69 , 951.41 , 134.53 ," 1,323.13 "," 1,323.13 ", 1.00000 , 0.02 , 0.44 , 0.11 , 0.83 , 0.20 , 0.40 
2012,4,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,805.18 ", 405.69 , 809.96 , 226.14 ," 1,473.78 ", 211.32 , 23.00 , 24.38 , 783.88 , 26.63 ," 1,058.14 ", 3.60 , 99.44 , 521.13 ," 1,031.51 ", 247.63 ," 1,084.29 "," 1,587.76 ", 1.46432 , 0.01 , 0.53 , 0.20 , 1.01 , 0.37 , 0.53 
2013,1,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,802.05 ", 336.29 , 803.70 , 220.72 ," 1,421.69 ", 191.25 , 46.12 , 78.34 , 745.31 , 51.12 , 995.33 , 3.84 , 93.01 , 552.46 , 944.22 , 198.91 ," 1,069.26 "," 1,587.76 ", 1.48492 ,-0.00 , 0.53 , 0.20 , 1.05 , 0.40 , 0.55 
2013,2,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 2,976.59 ", 400.10 , 812.64 , 314.95 ," 1,513.82 ", 224.84 , 22.29 , 99.06 , 727.23 , 47.69 , 991.95 , 2.50 , 188.41 , 604.03 , 944.27 , 217.03 , 84.37 ," 1,512.15 ", 17.92252 , 0.06 , 0.44 , 0.13 , 0.87 , 0.25 , 0.43 
2013,3,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 3,126.20 ", 450.69 , 915.49 , 320.03 ," 1,589.34 ", 291.06 , 26.26 , 32.67 , 812.59 , 47.93 ," 1,078.28 ", 3.71 , 193.23 , 591.82 ," 1,030.35 ", 217.76 ," 1,948.62 "," 1,502.70 ", 0.77116 , 0.05 , 0.42 , 0.09 , 0.82 , 0.17 , 0.37 
2013,4,"ACCEL, S.A.B. DE C.V.",ACCEL,ACCEL,2000, 311.00 ," 3,069.79 ", 441.97 , 795.29 , 358.77 ," 1,617.84 ", 207.85 , 34.69 , 123.98 , 793.66 , 57.26 ," 1,070.82 ", 3.61 , 223.50 , 591.44 ," 1,013.56 ", 219.91 ," 1,587.76 "," 1,786.23 ", 1.12500 ,-0.02 , 0.51 , 0.21 , 0.97 , 0.39 , 0.52 
