Periodo,M1,M2,M3,M4,PIB Nominal
37622,719717017.7,2199341968,2411520247,2451545150,2581814.245
37653,707376873.6,2193188057,2392296017,2426113530,2581814.245
37681,714382417.1,2165133600,2377738956,2416371430,2581814.245
37712,702921409.5,2160440657,2374009434,2409664652,2626858.378
37742,711851230.1,2186149137,2390819908,2425545422,2626858.378
37773,727496498.3,2148802351,2375141331,2411462154,2626858.378
37803,722539884.1,2191210125,2421486624,2464554721,2590512.204
37834,720237740.5,2178263151,2417294582,2463028263,2590512.204
37865,723358643.5,2195512337,2451161011,2494511673,2590512.204
37895,731312557.6,2196196189,2448639040,2489268650,2692561.243
37926,765699246.1,2187834956,2449018674,2488896240,2692561.243
37956,857418364.2,2331594975,2607818731,2645095999,2692561.243
37987,811975918,2339289329,2564991154,2611785229,2782311.132
38018,804429647.4,2285732239,2532281631,2591187708,2782311.132
38047,796861660.5,2312217167,2540681785,2622618121,2782311.132
38078,799774807.4,2306755673,2549256765,2598577457,2960740.15
38108,816684885.4,2291715363,2542956730,2589911185,2960740.15
38139,849498926.4,2336357856,2611077096,2670053904,2960740.15
38169,830657826.8,2300126954,2577388741,2631472647,2948011.051
38200,824501677.8,2300666021,2557817160,2620076450,2948011.051
38231,832481290.2,2340295312,2548599026,2625096659,2948011.051
38261,844900914.9,2379130414,2605540709,2688796091,3080094.245
38292,865986082.3,2432524755,2613570128,2707165360,3080094.245
38322,946312797.1,2493275018,2715624840,2809007975,3080094.245
38353,908035091.6,2467608912,2667752473,2779174451,3020382.44
38384,903986453.7,2446272629,2660632644,2771518908,3020382.44
38412,890367065.1,2468978150,2674365281,2792831721,3020382.44
38443,890894217.5,2476323493,2675178735,2793418060,3214530.805
38473,892003008.8,2461296990,2670568899,2789241738,3214530.805
38504,929955320.6,2510152999,2719219807,2844573683,3214530.805
38534,924866787.2,2530217233,2751182872,2879277886,3191455.555
38565,916392444.5,2548081745,2750822939,2882813120,3191455.555
38596,924600729.5,2583841433,2805962562,2936753831,3191455.555
38626,934761855.5,2646976727,2867792326,2999144845,3323828.684
38657,962288428.1,2686753941,2895934010,3029507653,3323828.684
38687,1068139312,2847571536,3033053549,3169019576,3323828.684
38718,1019917763,2844250762,2993440327,3135131561,3366809.807
38749,1012587330,2877334284,3044877557,3198706257,3366809.807
38777,1032942320,2980422004,3163871164,3329175586,3366809.807
38808,1042284481,3048483722,3236141219,3417691290,3585889.442
38838,1047836111,3033323264,3243798943,3419337179,3585889.442
38869,1096855213,3072939063,3306298184,3485925940,3585889.442
38899,1091461936,3008830705,3252418723,3409114594,3567827.345
38930,1060740930,2985924210,3248576820,3393810226,3567827.345
38961,1074176151,2996147269,3269032822,3422090961,3567827.345
38991,1067786693,3001393662,3241585282,3401378027,3654059.309
39022,1117490224,3029332577,3306558213,3478285175,3654059.309
39052,1218196212,3203214575,3499687088,3676037795,3654059.309
39083,1145328848,3157546039,3394840359,3575554047,3641330.491
39114,1130788211,3182388232,3402686408,3583742507,3641330.491
39142,1144618543,3208342307,3467830071,3659995688,3641330.491
39173,1126302579,3168402699,3405540200,3595898097,3828826.921
39203,1132230566,3202547655,3465365921,3668240254,3828826.921
39234,1173513684,3257091854,3484102396,3677291711,3828826.921
39264,1162624881,3244411352,3468044296,3676038655,3839556.627
