Tipo,Periodo,Mes,Cant_Dinero,Log_Cant_Dinero,INPC,Cant_Dinero_Real,Log_Cant_Dinero_Real,PIB_Nominal, Tasa_de_Crecimiento ,Velocidad,Log_Velocidad
M0,2003,1,"263,936,900",8.421500112,53.52544068,4931055,6.7,2581814.245,,0.009781937,-2.0096
M0,2003,2,"246,102,000",8.391115143,53.67412245,4585115,6.7,2581814.245,-0.0702 ,0.01049083,-1.9792
M0,2003,3,"241,402,100",8.382741044,54.01293041,4469339,6.7,2581814.245,-0.0253 ,0.010695078,-1.9708
M0,2003,4,"236,092,900",8.373082927,54.1051442,4363594,6.6,2626858.378,-0.0237 ,0.011126376,-1.9536
M0,2003,5,"243,730,800",8.386910414,53.93055967,4519345,6.7,2626858.378, 0.0357 ,0.010777704,-1.9675
M0,2003,6,"246,356,300",8.391563673,53.9751124,4564257,6.7,2626858.378, 0.0099 ,0.010662842,-1.9721
M0,2003,7,"238,675,000",8.377806931,54.0533387,4415546,6.6,2590512.204,-0.0326 ,0.010853722,-1.9644
M0,2003,8,"244,231,900",8.387802388,54.21548991,4504836,6.7,2590512.204, 0.0202 ,0.010606773,-1.9744
M0,2003,9,"240,716,800",8.381506401,54.53823816,4413725,6.6,2590512.204,-0.0202 ,0.010761659,-1.9681
M0,2003,10,"238,393,400",8.377294228,54.73820739,4355155,6.6,2692561.243,-0.0133 ,0.011294613,-1.9471
M0,2003,11,"247,925,900",8.394321898,55.19254161,4492018,6.7,2692561.243, 0.0314 ,0.010860347,-1.9642
M0,2003,12,"259,585,200",8.414279928,55.42981079,4683133,6.7,2692561.243, 0.0425 ,0.010372553,-1.9841
M0,2004,1,"303,614,100",8.482321937,55.77431735,5443618,6.7,2782311.132, 0.1624 ,0.009163972,-2.0379
M0,2004,2,"278,373,100",8.444627266,56.10794476,4961385,6.7,2782311.132,-0.0886 ,0.009994899,-2.0002
M0,2004,3,"271,847,800",8.434325823,56.29807094,4828723,6.7,2782311.132,-0.0267 ,0.010234812,-1.9899
M0,2004,4,"272,724,400",8.435723995,56.38303195,4836994,6.7,2960740.15, 0.0017 ,0.010856162,-1.9643
M0,2004,5,"273,090,800",8.43630707,56.24160294,4855672,6.7,2960740.15, 0.0039 ,0.010841596,-1.9649
M0,2004,6,"274,667,300",8.438806958,56.33174451,4875888,6.7,2960740.15, 0.0042 ,0.010779369,-1.9674
M0,2004,7,"283,485,700",8.452531156,56.47939018,5019277,6.7,2948011.051, 0.0294 ,0.010399153,-1.9830
M0,2004,8,"281,999,500",8.450248338,56.82804118,4962330,6.7,2948011.051,-0.0113 ,0.010453958,-1.9807
M0,2004,9,"276,456,800",8.441627277,57.29791705,4824901,6.7,2948011.051,-0.0277 ,0.010663551,-1.9721
M0,2004,10,"283,025,900",8.45182618,57.69474717,4905575,6.7,3080094.245, 0.0167 ,0.010882729,-1.9633
M0,2004,11,"284,024,400",8.453355651,58.1868994,4881243,6.7,3080094.245,-0.0050 ,0.010844471,-1.9648
M0,2004,12,"295,712,000",8.470868949,58.30708815,5071630,6.7,3080094.245, 0.0390 ,0.010415858,-1.9823
M0,2005,1,"340,177,700",8.53170584,58.30916037,5834035,6.8,3020382.44, 0.1503 ,0.008878837,-2.0516
M0,2005,2,"313,839,800",8.496708018,58.50343099,5364468,6.7,3020382.44,-0.0805 ,0.009623962,-2.0166
M0,2005,3,"305,504,900",8.48501818,58.76712098,5198568,6.7,3020382.44,-0.0309 ,0.009886527,-2.0050
M0,2005,4,"312,698,100",8.495125242,58.97641519,5302087,6.7,3214530.805, 0.0199 ,0.010279982,-1.9880
M0,2005,5,"306,993,400",8.487129039,58.82825146,5218469,6.7,3214530.805,-0.0158 ,0.010471009,-1.9800
M0,2005,6,"306,908,700",8.4870092,58.77178347,5222042,6.7,3214530.805, 0.0007 ,0.010473899,-1.9799
M0,2005,7,"316,880,500",8.500895515,59.00179988,5370692,6.7,3191455.555, 0.0285 ,0.01007148,-1.9969
M0,2005,8,"312,861,800",8.49535254,59.07225536,5296256,6.7,3191455.555,-0.0139 ,0.010200848,-1.9914
M0,2005,9,"309,210,100",8.490253671,59.30900649,5213544,6.7,3191455.555,-0.0156 ,0.010321317,-1.9863
M0,2005,10,"312,474,700",8.49481486,59.45457994,5255688,6.7,3323828.684, 0.0081 ,0.010637113,-1.9732
M0,2005,11,"315,282,600",8.498700003,59.88249335,5265021,6.7,3323828.684, 0.0018 ,0.010542379,-1.9771
M0,2005,12,"333,731,400",8.52339707,60.25031239,5539082,6.7,3323828.684, 0.0521 ,0.009959592,-2.0018
