Empresa,Nombre_Corto,Fecha,Anio,Trimestre,Activos,Inventarios,Pasivo_Circulante,PasivoLP,UOAD,PPE,CPP,Efectivo,GC,CBV,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Acciones
"ALFA, S.A.B. DE C.V.",ALFA,1Q2010,2010,1,103094.092,11857.87,25615.557,35385.284,2335.590088,51898.521,14231.805,8694.183,501.7810059,26132.90234,32287.38086,964.3369751,35385.28516,18212.45898,29951.79102,3818.888672,8.790655738
"ALFA, S.A.B. DE C.V.",ALFA,2Q2010,2010,2,102631.686,12071.495,27690.637,33176.435,2792.050049,51163.514,14668.601,8749.18,673.3369751,27070.4043,33655.66797,925.0650024,33176.43359,19036.41406,30863.61719,3793.212891,9.372380952
"ALFA, S.A.B. DE C.V.",ALFA,3Q2010,2010,3,113130.973,13584.614,28050.914,40847.591,2764.386963,52241.052,14797.715,8935.17,850.539978,27522.17773,34207.91406,1070.503052,40847.59375,19820.5332,31443.52734,3921.349609,9.6103125
"ALFA, S.A.B. DE C.V.",ALFA,4Q2010,2010,4,112254.679,14653.346,28256.722,39741.92,2866.12793,52096.316,15847.682,8495.221,1461.527954,29422.3457,36243.60938,842.2960205,39741.91797,18079.5625,33377.48047,3955.134766,10.85984375
"ALFA, S.A.B. DE C.V.",ALFA,1Q2011,2011,1,125085.582,15949.511,33598.269,45209.45,3500.310059,56127.961,19181.858,8794.905,1319.168945,34600.89453,42233.02734,775.3480225,45209.44922,23887.45703,38732.71875,4131.824219,14.17354839
"ALFA, S.A.B. DE C.V.",ALFA,2Q2011,2011,2,125061.388,18398.435,34402.612,43788.548,3771.5979,55816.148,20771.732,6651.882,1069.738037,36549.67188,44257.42188,854.1539917,43788.55078,23804.04492,40485.82422,3936.152344,16.81634921
"ALFA, S.A.B. DE C.V.",ALFA,3Q2011,2011,3,139857.9,20139.114,40077.343,51773.904,3950.858887,61610.468,22367.824,11256.015,1328.589966,39367.90234,47922.98047,1048.863037,51773.90625,25554.5332,43972.12109,4604.21875,15.858
"ALFA, S.A.B. DE C.V.",ALFA,4Q2011,2011,4,138561.594,20576.81,35776.067,54099.522,3551.753906,63261.664,20254.02,9031.343,2482.137939,40042.95703,48349.98828,1136.042969,54099.52344,24342.32422,44798.23438,4755.277344,15.60306452
"ALFA, S.A.B. DE C.V.",ALFA,1Q2012,2012,1,145208.813,20335.126,36855.176,61075.073,4173.796875,71819.313,20505.128,8578.737,1426.26001,40672.00391,49611.60156,894.0009766,48975.76953,23909.4082,45437.80469,4765.800781,17.0084127
"ALFA, S.A.B. DE C.V.",ALFA,2Q2012,2012,2,161613.387,21931.293,36461.514,64429.752,4562.116211,74473.587,20954.934,14811.855,1746.85498,42260.75391,51568.30859,138.7400055,51752.43359,26015.91602,47006.19141,4745.4375,18.58903226
"ALFA, S.A.B. DE C.V.",ALFA,3Q2012,2012,3,153149.331,20522.249,34600.097,57413.848,4271.524902,72740.977,19169.45,12473.53,1739.838989,42069.08984,50936.51172,522.0419922,45762.64844,25545.38867,46664.98828,4595.898438,21.91169231
"ALFA, S.A.B. DE C.V.",ALFA,4Q2012,2012,4,153858.336,21727.731,33631.879,59449.106,3297.240967,74067.937,19868.438,13660.742,2442.072021,39596.51172,48050.28906,604.8150024,47175.28125,21903.17578,44753.04688,5156.535156,25.89419355
"ALFA, S.A.B. DE C.V.",ALFA,1Q2013,2013,1,150113.379,21327.738,34308.916,56236.835,4170.150879,71117.054,19481.364,11474.335,1559.17395,41133.90625,49823.97266,474.4979858,44937.54297,24067.57422,45653.82031,4519.914063,30.30542373
"ALFA, S.A.B. DE C.V.",ALFA,2Q2013,2013,2,157057.813,22000.514,38007.993,56702.815,2316.993896,73310.865,21818.257,11733.406,1887.979004,41281.94531,50877.14844,374.9599915,46050.37891,24904.68555,48560.15625,7278.210938,29.27828125
"ALFA, S.A.B. DE C.V.",ALFA,3Q2013,2013,3,160724.052,22619.176,42767.338,52478.414,4373.49707,73113.48,21228.928,13071.925,2080.212891,42757.53125,52477.17969,392.9949951,42154.72266,26073.28906,48103.68359,5346.152344,34.63323077
"ALFA, S.A.B. DE C.V.",ALFA,4Q2013,2013,4,165390.239,22691.587,42700.171,57521.061,3224.429932,73974.299,20933.85,11902.083,2236.418945,41655.26563,50277.49609,532.4790039,46931.96875,23563.6543,47053.06641,5397.800781,36.34190476
"ALFA, S.A.B. DE C.V.",ALFA,1Q2014,2014,1,181747.42,22072.709,41535.97,73534.85,3885.787109,73885.265,22196.789,22025.681,1649.718994,42528.4375,51548.39844,390.6239929,61853.35156,27153.64453,47662.60938,5134.171875,34.48114754
"ALFA, S.A.B. DE C.V.",ALFA,2Q2014,2014,2,221330.88,29995.163,56644.139,91677.361,4351.980957,84174.462,31507.132,27593.035,1889.034058,42687.71875,52326.30469,362.3049927,74369.46875,29131.58594,47974.32422,5286.605469,35.82322581
"ALFA, S.A.B. DE C.V.",ALFA,3Q2014,2014,3,220405.987,30994.829,55564.3,91679.733,4607.445801,84854.645,31888.467,14367.194,2479.272949,49686.04688,61130.75781,2114.531982,75649.52344,27326.95508,56523.3125,6837.265625,40.13723077
"ALFA, S.A.B. DE C.V.",ALFA,4Q2014,2014,4,232540.478,30758.166,62115.419,101504.079,4040.955078,93907.658,35167.052,16669.298,2958.532959,52802.23438,63880.10547,857.2659912,82327.17969,30232.5625,59839.14844,7036.914063,38.65222222
"ALFA, S.A.B. DE C.V.",ALFA,1Q2015,2015,1,236457.889,30388.728,68758.596,101701.589,4443.466797,93446.837,33101.282,22883.746,2760.903076,48937.62891,61041.26563,1210.994019,82684.96875,30394.31445,56597.79688,7660.167969,30.30770492
