Año,PIB,K,L,W
2003,13061718.52,70.44755984,41021216.75,8713.372093
2004,13573815.06,74.47708494,42068550,8574.615385
2005,13887072.52,78.33467541,42079136.25,8555.8418
2006,14511307.25,85.33902775,43378461,8478.171896
2007,14843825.98,89.21007862,44231248.25,8426.451613
2008,15013577.68,97.79224548,44943527,8368.985419
2009,14219998.38,86.04644309,45435351.75,8420.526316
2010,14947794.7,89.50625901,46121621.25,8344.519016
2011,15495333.6,94.02030139,47138887.25,8246.987315
2012,16059723.65,101.0213346,48706734,8248.299492
2013,16277187.08,98.58617098,49227312.5,8445.725
2014,16733654.77,98.8770963,49415411.5,8451.149425
2015,17283855.93,104.5304234,50611331.75,8566.612302
2016,17786910.59,106.7154166,51594748.25,8433.068081
2017,18163652.49,105.5448064,52340749.25,8289.303483
2018,18551620.03,108.7051102,53721194.5,8346.169036
2019,18524608.5,105.5035598,54993593.5,8606.252862
