MES,INF,DES,CETES91
Ene 1985,60.75,5.2,48.33
Feb 1985,59.04,5.7,49.66
Mar 1985,58.43,4.8,57.58
Abr 1985,56.53,4.5,59.3
May 1985,55.1,4.4,59.95
Jun 1985,53.43,3.9,64.67
Jul 1985,53.73,4.4,70.91
Ago 1985,56.02,4.6,73.91
Sep 1985,57.55,4.8,69.48
Oct 1985,58.02,4.1,66.6
Nov 1985,59.82,3.8,69.1
Dic 1985,63.75,3.4,74.8
Ene 1986,65.92,4,75.3
Feb 1986,66.38,4,76.48
Mar 1986,67.62,4.2,79.38
Abr 1986,71.11,3.9,80.86
May 1986,76.44,3.5,81.01
Jun 1986,83.17,3.9,85.88
Jul 1986,85.84,5.5,90.5
Ago 1986,92.25,4.3,
Sep 1986,95.96,5,
Oct 1986,99.58,5.2,108.08
Nov 1986,103.67,4.2,104.15
Dic 1986,105.75,3.8,105.48
Ene 1987,104.34,4.5,104.96
Feb 1987,109.76,4.7,104.97
Mar 1987,113.69,4,101.81
Abr 1987,120.86,4.4,99.55
May 1987,125,3.7,98.44
Jun 1987,126.73,3.8,98.37
Jul 1987,133.44,4.1,96.14
Ago 1987,133.88,3.6,95.9
Sep 1987,135.18,4.1,95.43
Oct 1987,141,3.9,96.46
Nov 1987,143.65,3.2,110.82
Dic 1987,159.17,2.6,131.1
Ene 1988,176.83,3.6,157.63
Feb 1988,179.73,3.3,153.92
Mar 1988,175.83,3.5,77.77
Abr 1988,161.44,3.8,53.82
May 1988,147.82,3.4,46.24
Jun 1988,135.81,3.7,33.1
Jul 1988,121.79,4,32.45
Ago 1988,106.92,3.5,32.45
Sep 1988,95.24,4,32.45
Oct 1988,81.59,3.5,32.45
Nov 1988,70.5,3.3,
Dic 1988,51.66,2.9,51.47
Ene 1989,34.56,3.5,50.66
Feb 1989,25.89,3,49.4
Mar 1989,21.05,2.9,48.81
Abr 1989,19.2,3,51.55
May 1989,18.54,3,53.83
Jun 1989,17.58,2.8,54.99
Jul 1989,16.81,3.1,36.42
Ago 1989,16.85,3.1,36.43
Sep 1989,17.3,3.3,35.73
Oct 1989,18.13,2.7,39.18
Nov 1989,18.21,2.4,40.07
Dic 1989,19.7,2.3,40.19
Ene 1990,22.48,2.6,40.25
Feb 1990,23.57,2.4,43.03
Mar 1990,24.4,2.4,45.16
Abr 1990,24.43,2.7,44.32
May 1990,24.89,2.7,38
Jun 1990,26.11,3,33.27
Jul 1990,27.13,3.6,31.76
Ago 1990,28.08,3,30.54
Sep 1990,28.68,2.8,31.54
Oct 1990,28.62,3.3,30.34
Nov 1990,30.21,2.3,26.29
Dic 1990,29.93,2.1,25.84
Ene 1991,27.11,2.8,23.93
Feb 1991,26.46,2.5,23.33
Mar 1991,26.04,2.9,22.51
Abr 1991,25.45,2.6,21.43
May 1991,24.51,2.3,20.15
Jun 1991,23.1,2.1,18.53
Jul 1991,21.97,2.7,18.64
Ago 1991,20.76,3.2,17.68
Sep 1991,20.25,3.1,18.72
Oct 1991,19.92,3.2,18.38
Nov 1991,19.72,2.7,17.24
Dic 1991,18.79,2.2,17.33
Ene 1992,17.95,2.9,15.84
Feb 1992,17.3,3.2,15.13
Mar 1992,16.82,2.7,11.73
Abr 1992,16.64,2.7,11.86
May 1992,16.28,2.9,13.1
Jun 1992,15.85,2.7,14.84
Jul 1992,15.56,3.1,16.99
Ago 1992,15.46,2.5,17.29
Sep 1992,15.32,2.8,18.63
Oct 1992,14.82,2.8,19.49
Nov 1992,12.96,2.9,18.23
Dic 1992,11.94,2.2,17.53
Ene 1993,11.32,3.2,18.3
Feb 1993,10.91,3.5,18.75
Mar 1993,10.44,3.6,17.98
Abr 1993,10.09,3,16.74
May 1993,10,3.3,16.34
Jun 1993,9.87,3.2,15.95
Jul 1993,9.7,3.6,14.73
Ago 1993,9.62,3.9,14.1
Sep 1993,9.48,4,14.12
Oct 1993,9.14,3.7,13.55
Nov 1993,8.72,3.2,13.72
Dic 1993,8.01,2.9,11.71
Ene 1994,7.5,3.8,10.75
Feb 1994,7.18,3.7,9.8
Mar 1994,7.1,3.6,10.31
Abr 1994,7.01,3.8,15.92
May 1994,6.92,3.2,17.44
Jun 1994,6.85,3.3,16.74
Jul 1994,6.81,3.9,17.38
Ago 1994,6.74,3.6,14.76
Sep 1994,6.71,3.8,14.15
Oct 1994,6.83,3.9,13.98
Nov 1994,6.93,3.9,14.54
Dic 1994,7.05,3.2,19.62
Ene 1995,10.23,4.5,39.23
Feb 1995,14.31,5.3,41.65
Mar 1995,20.43,5.7,71.2
Abr 1995,29.39,6.3,71.5
May 1995,34.15,6.6,54.71
Jun 1995,37.72,6.6,47.31
Jul 1995,39.91,7.3,39.72
Ago 1995,41.57,7.6,35.88
Sep 1995,43.48,7.3,34.33
Oct 1995,45.66,6.7,41.2
Nov 1995,48.46,5.8,54.19
Dic 1995,51.97,5.5,48.01
Ene 1996,51.72,6.4,41.57
Feb 1996,48.95,6.3,40.66
Mar 1996,43.75,6,43.05
Abr 1996,36.93,5.9,37.15
May 1996,33.83,5.4,31.07
Jun 1996,31.82,5.6,29.64
Jul 1996,31.03,5.8,31.66
Ago 1996,30.6,5.3,29.16
Sep 1996,30,5.5,27.79
Oct 1996,28.97,5.2,27.68
Nov 1996,27.77,4.8,28.94
Dic 1996,27.7,4.1,26.51
Ene 1997,26.44,4.5,24.6
Feb 1997,25.64,4.22,21.96
Mar 1997,24.46,4.19,22.32
Abr 1997,22.33,4.29,22.37
May 1997,21.23,3.9,20.59
Jun 1997,20.35,3.4,21.4
Jul 1997,19.7,4.09,19.4
Ago 1997,19.18,3.5,20.15
Sep 1997,18.76,3.41,20.51
Oct 1997,18.24,3.23,19.91
Nov 1997,17.77,3.27,22.01
Dic 1997,15.72,2.82,19.88
Ene 1998,15.27,3.59,19.37
Feb 1998,15.35,3.53,19.63
Mar 1998,15.27,3.39,20.76
Abr 1998,15.1,3.05,19.47
May 1998,14.97,3.2,18.85
Jun 1998,15.31,3.36,20.99
Jul 1998,15.41,3.2,21.82
Ago 1998,15.5,3.02,25.22
Sep 1998,15.92,3.28,41.9
Oct 1998,16.65,3.11,37.53
Nov 1998,17.41,2.59,34.3
Dic 1998,18.61,2.6,34.35
Ene 1999,19.02,2.85,32.27
Feb 1999,18.54,3.2,28.72
Mar 1999,18.26,2.71,23.86
Abr 1999,18.23,2.7,21.05
May 1999,18.01,2.44,21.02
Jun 1999,17.39,2.58,21.35
Jul 1999,17.04,2.26,20.78
Ago 1999,16.58,2.49,21.49
Sep 1999,15.83,2.24,21.34
Oct 1999,14.91,2.5,20.3
Nov 1999,13.92,2.09,18.68
Dic 1999,12.32,2,17.65
Ene 2000,11.02,2.28,17.43
Feb 2000,10.52,2.43,16.44
Mar 2000,10.11,2.15,14.46
Abr 2000,9.73,2.45,14.37
May 2000,9.48,2.14,15.58
Jun 2000,9.41,2.11,16.61
